ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Cluster
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,2
462643,Female,Yes,38,Yes,Engineer,,Average,3.0,0
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,0
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,4
462669,Female,Yes,40,Yes,Entertainment,,High,6.0,0
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,3
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,1
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,1
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,0
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,0
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,1
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,2
461230,Female,No,19,No,Executive,0.0,Low,,2
459573,Male,Yes,70,No,Lawyer,,Low,1.0,4
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,0
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,2
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,2
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,2
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,3
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,0
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,3
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,2
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,3
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,1
461021,Female,,58,No,Executive,1.0,Average,3.0,0
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,3
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,2
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,3
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,1
461996,Female,No,35,No,Artist,5.0,Low,4.0,2
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,0
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,0
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,2
467010,Male,No,26,No,Homemaker,9.0,Low,,2
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,4
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,2
465572,Male,No,32,No,Doctor,5.0,Low,1.0,1
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,2
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,0
467442,Male,Yes,56,Yes,Artist,,Average,2.0,3
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,1
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,2
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,1
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,0
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,3
463156,Female,Yes,79,No,Lawyer,,High,2.0,4
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,3
462384,Female,No,29,Yes,Healthcare,,Low,1.0,1
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,2
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,1
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,0
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,0
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,3
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,0
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,4
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,3
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,1
462267,Male,No,32,,Doctor,8.0,Low,2.0,1
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,0
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,4
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,3
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,3
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,4
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,4
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,4
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,1
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,3
464580,Male,No,27,No,Artist,8.0,Low,4.0,2
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,3
467208,Female,Yes,39,Yes,Homemaker,,High,2.0,0
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,3
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,0
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,0
460191,Female,No,33,No,Healthcare,8.0,Low,4.0,2
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,3
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,2
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,1
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,3
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,3
466567,Female,No,49,Yes,,1.0,Low,1.0,1
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,2
463814,Female,No,26,No,Healthcare,6.0,Low,3.0,2
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,3
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,3
462204,Female,No,19,No,Marketing,1.0,Low,3.0,2
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,2
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,3
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,0
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,2
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,3
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,1
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,0
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,0
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,3
467066,Male,Yes,55,No,Artist,0.0,Low,1.0,3
463845,Male,Yes,58,Yes,Artist,,Average,1.0,3
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,1
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,3
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,3
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,3
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,3
466911,Male,Yes,68,No,Executive,1.0,High,7.0,3
462806,Male,Yes,52,No,Artist,0.0,Low,3.0,3
463426,Male,Yes,38,No,Executive,0.0,High,5.0,3
464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,0
462979,Male,No,18,No,Doctor,1.0,Low,2.0,2
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,3
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,4
466466,Female,,19,No,Healthcare,6.0,Low,5.0,2
460185,Male,No,25,No,Healthcare,9.0,Low,3.0,2
459749,Male,Yes,59,Yes,Entertainment,,Low,4.0,3
464406,Female,No,39,Yes,Artist,0.0,Low,1.0,1
467758,Female,Yes,50,Yes,Doctor,1.0,Low,,0
462059,Male,No,47,Yes,Artist,1.0,Low,1.0,1
467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,3
461177,Male,Yes,36,No,Executive,8.0,Average,4.0,3
460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,4
465386,Male,No,36,Yes,Artist,0.0,Low,2.0,1
465827,Male,No,27,No,,2.0,Low,7.0,2
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,0
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,3
461011,Male,Yes,55,No,Executive,1.0,High,4.0,3
464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,0
461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,1
462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,3
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,2
466295,Female,Yes,42,No,Engineer,0.0,Low,,0
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,3
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,0
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,1
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,3
466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,4
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,2
459478,Male,Yes,46,Yes,Artist,,Low,1.0,3
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,0
459853,Male,No,30,No,Executive,5.0,Low,5.0,2
459390,Female,No,41,No,Artist,,Low,2.0,1
460410,Female,No,39,Yes,Artist,3.0,Low,4.0,1
463823,Female,No,29,No,Marketing,8.0,Low,4.0,2
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,0
